타임스탬프,성별,나이,선호 장소,주간 운동량,운동 가용 금액,운동 시간,선호 종목(복수선택 가능)
2024. 5. 2 오후 12:14:25,남자,30대,실외,주 3-4일,50000원 미만,상관없음,볼더링(클라이밍)
2024. 5. 2 오후 12:27:52,남자,30대,실내,주 1-2일,무료,평일,볼더링(클라이밍)
2024. 5. 2 오후 12:37:10,남자,30대,상관없음,주 1-2일,무료,주말,"양궁,사격, 실내서바이벌, 패러글라이딩"
2024. 5. 2 오후 12:39:43,남자,30대,상관없음,주 3-4일,100000원 미만,평일,"크로스핏, 서핑"
2024. 5. 2 오후 12:40:32,남자,30대,상관없음,주 5일 이상,300000원 미만,상관없음,"산악자전거, 실내서바이벌, 스쿠버다이빙,프리다이빙,스노클링, 크로스핏"
2024. 5. 2 오후 12:42:32,남자,30대,실내,주 1-2일,100000원 미만,주말,"스쿠버다이빙,프리다이빙,스노클링, 크로스핏, 양궁,사격, 볼더링(클라이밍), 실내서바이벌"
2024. 5. 2 오후 12:48:16,남자,30대,실외,1일 미만,100000원 미만,상관없음,"서핑, 스케이트보드"
2024. 5. 2 오후 12:16:58,남자,40대,실외,주 5일 이상,300000원 미만,평일,"크로스핏, 산악자전거"
2024. 5. 2 오후 12:42:59,남자,40대,실외,1일 미만,50000원 미만,상관없음,"트릭킹,폴댄스"
2024. 5. 2 오후 12:37:54,남자,50대 이상,상관없음,주 1-2일,300000원 미만,상관없음,게이트볼
2024. 5. 2 오전 11:30:21,여자,20대,실내,1일 미만,100000원 미만,상관없음,"트릭킹,폴댄스, 아이스링크, 플라잉요가"
2024. 5. 2 오전 11:33:06,여자,20대,실내,1일 미만,100000원 미만,상관없음,"패러글라이딩, 서핑, 아이스링크, 스쿠버다이빙,프리다이빙,스노클링"
2024. 5. 2 오전 11:34:09,여자,20대,실내,주 1-2일,300000원 미만,상관없음,"트릭킹,폴댄스"
2024. 5. 2 오전 11:34:17,여자,20대,실내,1일 미만,무료,주말,"양궁,사격"
2024. 5. 2 오전 11:34:28,여자,20대,실내,1일 미만,50000원 미만,상관없음,"아이스링크, 플라잉요가"
2024. 5. 2 오전 11:35:44,여자,20대,실내,1일 미만,50000원 미만,상관없음,"실내서바이벌, 패러글라이딩, 볼더링(클라이밍), 스쿠버다이빙,프리다이빙,스노클링"
2024. 5. 2 오전 11:37:47,여자,20대,실내,1일 미만,무료,상관없음,아이스링크
2024. 5. 2 오전 11:40:09,여자,20대,실내,주 1-2일,100000원 미만,평일,스쿼시
2024. 5. 2 오전 11:42:01,여자,20대,실내,주 3-4일,500000원 초과,주말,"서핑, 플라잉요가"
2024. 5. 2 오전 11:43:44,여자,20대,실외,1일 미만,100000원 미만,주말,"아이스링크, 카누,카약, 플라잉요가, 패러글라이딩, 스쿠버다이빙,프리다이빙,스노클링, 양궁,사격"
2024. 5. 2 오전 11:47:01,여자,20대,실내,주 1-2일,50000원 미만,상관없음,"트릭킹,폴댄스, 플라잉요가"
2024. 5. 2 오후 12:01:47,여자,20대,실내,주 3-4일,50000원 미만,상관없음,"크로스핏, 볼더링(클라이밍)"
2024. 5. 2 오후 12:09:14,여자,20대,상관없음,1일 미만,무료,상관없음,아이스링크
2024. 5. 2 오후 12:09:55,여자,20대,실내,주 3-4일,무료,상관없음,"플라잉요가, 아이스링크"
2024. 5. 2 오후 12:13:25,여자,20대,실내,1일 미만,50000원 미만,상관없음,"플라잉요가, 아이스링크"
2024. 5. 2 오후 12:14:52,여자,20대,실내,1일 미만,무료,상관없음,플라잉요가
2024. 5. 2 오후 12:23:14,여자,20대,실내,주 1-2일,50000원 미만,평일,"스쿼시, 플라잉요가, 아이스링크"
2024. 5. 2 오후 12:30:40,여자,20대,실내,1일 미만,무료,상관없음,"아이스링크, 바둑,체스,홀덤, 비치발리볼"
